GEOID10,DP0010001,NEIGHBORS
48113013105,6073,"48113007822,48113013104,48113013102,48113007823,48113013101"
48113006401,2570,"48113006402,48113010804,48113006302,48113005300"
48113014130,4090,"48113014132,48113014124,48113014129,48113014128,48113014131,48113014121,48113014002,48113014138,48113009900"
48113014138,3574,"48113014124,48113014130,48113014206,48113014137,48113009900"
48113014206,3877,"48113014312,48113014204,48113014205,48113014137,48113014138,48113009900"
48113016520,6953,"48113010704,48113010801,48113016502,48113016521,48113010703,48113010903,48113010803"
48113010805,5706,"48113010801,48113006502,48113006402,48113010804,48113010803"
48113010804,4442,"48113010805,48113006502,48113006402,48113006302,48113005300,48113006401,48113006100,48113006301,48113010803"
48113006402,5328,"48113010805,48113006501,48113006502,48113010804,48113005300,48113004500,48113006401,48113006700"
48113013620,4029,"48113013619,48113013617,48113013621,48113013611,48113013616,48113013624,48113013622"
48113013624,3222,"48113013616,48113013620,48113013626,48113013625,48113013622,48113013623,48113013615"
48113014113,4670,"48113014114,48113014133,48113014115,48113014116"
48113014114,3117,"48113014133,48113014103,48113014115,48113014113,48113014309"
48113014115,6571,"48113014114,48113014133,48113014116,48113014113,48113014306,48113014309,48113014403,48113014407,48113014405"
48113014116,4542,"48113980000,48113014133,48113014115,48113014113,48113014403,48113014407"
48113014119,4145,"48113014135,48113014120,48113020000,48113014127,48113014126"
48113014120,5037,"48113014132,48113014135,48113014119,48113014123,48113014127,48113014121"
48113014121,5162,"48113014132,48113014120,48113014123,48113014127,48113014130,48113014002"
48113014123,5870,"48113014135,48113014134,48113014120,48113014121,48113014002,48121021737,48121021738"
48113014124,4133,"48113980000,48113014103,48113014136,48113014129,48113014130,48113014126,48113014137,48113014138"
48113004800,3205,"48113005400,48113006200,48113005000,48113004201,48113002000,48113004100,48113004900,48113004700"
48113004100,1155,"48113005400,48113004800,48113002000,48113004900,48113008900,48113003400,48113020400,48113010000"
48113017003,9567,"48257050206,48257050201,48113017305,48113017301,48113017306,48113017101,48257050800,48113017001,48113017004"
48113016903,5191,"48113016703,48113016803,48113016802,48139060102,48257050800,48139060101,48113017001,48113016902,48113017102"
48113016902,5563,"48113016703,48113016903,48113017102,48113020200,48113011601"
48113016802,3688,"48113016621,48113016620,48113016622,48113016803,48113016804,48139060207,48139060206,48139060101,48113016903,48113016611"
48113016703,9729,"48113011105,48113016605,48113011200,48113016701,48113016610,48113016620,48113016705,48113016704,48113016803,48113016804,48113016903,48113016902,48113020200"
48113017305,9583,"48257050201,48113018104,48113017304,48113017306,48113017003"
48113007903,1786,"48113007914,48113000202,48113000201,48113007819,48113007809,48113007909,48113007910,48113007911,48113007913,48113007902"
48113007902,5081,"48113000201,48113007809,48113007903,48113008000"
48113012701,6128,"48113012702,48113012800,48113012601,48113013010,48113018501,48113018401"
48113007818,6019,"48113007819,48113007820,48113007821,48113007815"
48113007811,4738,"48113013008,48113013009,48113018506,48113007825,48113007827,48113007810,48113018503"
48113007810,3953,"48113007805,48113007811,48113007825,48113007812,48113007804,48113019016,48113019035,48113018503"
48113013626,2619,"48113013616,48113013624,48113013625,48113013623,48113013615"
48113001704,1394,"48113001800,48113001701,48113002100,48113001703,48113001900"
48113000605,2145,"48113000606,48113001800,48113000701,48113000500,48113000603"
48113000406,7200,"48113000601,48113000401,48113000404,48113007201,48113007302,48113007202,48113009802,48113010000,48113007102,48113980100"
48113980100,10,"48113007302,48113000406,48113007102"
48113000606,3035,"48113019600,48113000702,48113001800,48113000701,48113019800,48113019700,48113000603,48113000605"
48113007914,2363,"48113000202,48113000201,48113000300,48113007903,48113007913,48113019302"
48113000401,4830,"48113000404,48113000405,48113000500,48113010000,48113000406"
48113000404,3451,"48113000601,48113000401,48113000405,48113000406"
48113000405,2710,"48113000601,48113000401,48113000404,48113000500,48113000603"
48113014126,5761,"48113014135,48113014119,48113980000,48113014124,48113014129,48113020000,48113014127,48439113703,48439980000"
48113014203,3118,"48113014307,48113014308,48113014204,48113014205,48113014601,48113014602"
48113014204,2275,"48113014203,48113014205,48113014206,48113009900,48113014602,48113014701,48113020100"
48113014302,6671,"48113014310,48113014312,48113014307,48113014306,48113014405,48113014501,48113014308,48113014601"
48113014306,5462,"48113014310,48113014302,48113014115,48113014309,48113014407,48113014405,48113014501"
48113014307,3911,"48113014312,48113014302,48113014308,48113014203,48113014205"
48113018123,8497,"48113018105,48113019043,48113018120,48113018139,48113018122,48113019025,48113018801"
48113009000,7979,"48113012100,48113009201,48113012000,48113008500,48113009104,48113012207,48113009101"
48113019211,5146,"48113019100,48113019203,48113019210,48113019206,48113019038"
48113019210,3944,"48113019211,48113019206,48113019038,48085031805,48085031804"
48113019206,5448,"48113019204,48113019203,48113019211,48113019210,48113019205,48085031804"
48113019100,4865,"48113019202,48113019203,48113019211,48113019038,48113019039,48113019040"
48113019023,4826,"48113019038,48113019039,48113019029,48113019024,48113019037,48113019028,48113019020,48113019031"
48113019037,3491,"48113019038,48113019039,48113019023,48113019028,48113019031,48113019036"
48113018002,3604,"48113018130,48113018001,48113017812,48113017900,48113017807"
48113007809,2269,"48113007819,48113007820,48113007821,48113013004,48113012900,48113007824,48113007826,48113007903,48113007911,48113008000,48113007902"
48113007815,4606,"48113007819,48113007820,48113007818,48113007821,48113007822,48113007805,48113007812,48113007823"
48113007812,2909,"48113007821,48113007815,48113007805,48113007825,48113007824,48113007810,48113007823"
48113007805,3261,"48113013200,48113007815,48113007810,48113007812,48113007804,48113007823,48113013101"
48113004000,1082,"48113003902,48113003800,48113003700,48113008603,48113008900,48113003400,48113011500"
48113000500,5537,"48113001800,48113000601,48113000401,48113000405,48113000603,48113000605,48113001900,48113010000"
48113000601,5987,"48113019800,48113000404,48113000405,48113000500,48113000603,48113007101,48113000406,48113007102"
48113000603,3465,"48113000606,48113000601,48113019800,48113000405,48113000500,48113000605"
48113000701,4048,"48113001600,48113000800,48113000702,48113000900,48113000606,48113001800,48113001703,48113000605"
48113000702,2758,"48113000800,48113019600,48113000900,48113000300,48113000606,48113000701"
48113001701,75,"48113002200,48113001600,48113001704,48113002100,48113003101,48113001703,48113020400"
48113001800,3575,"48113000606,48113001704,48113000701,48113001703,48113000500,48113000605,48113001900"
48113001900,4135,"48113001800,48113001704,48113002100,48113000500,48113010000"
48113002000,5741,"48113004800,48113004201,48113004300,48113004100,48113020400,48113004700,48113010000"
