state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
ID, lcut, 44, 2, 803945, 812023, 57445.68, 0.11, 62168.75, 0.03, 62168.75, 0.01, 62447.67, 0.02, 0.31, 0.06, 0.23, 5, 0.00, 6, 0.57, 62447.67, 0.00, 62447.67, 1, Y
ID, lcut, 44, 2, 793320, 801293, 56664.38, 0.10, 60834.50, 0.03, 60834.50, 0.01, 60834.50, 0.01, 0.34, 0.03, 0.18, 1, 0.00, 0, 0.55, 60834.50, 0.00, 60834.50, 1, Y
ID, lcut, 44, 2, 779592, 787426, 56252.42, 0.11, 61206.79, 0.04, 61206.79, 0.01, 61490.10, 0.02, 0.25, 0.05, 0.22, 3, 0.00, 2, 0.59, 61490.10, 0.00, 61490.10, 1, Y
ID, lcut, 44, 2, 768197, 775916, 55957.91, 0.10, 60151.66, 0.04, 60151.66, 0.01, 60151.66, 0.01, 0.34, 0.04, 0.19, 1, 0.00, 0, 0.52, 60151.66, 0.00, 60151.66, 1, Y
ID, lcut, 44, 2, 786811, 794718, 57904.62, 0.11, 62807.18, 0.03, 62807.18, 0.01, 63154.08, 0.02, 0.29, 0.05, 0.22, 4, 0.00, 5, 0.57, 63154.08, 0.00, 63154.08, 1, Y
KS, cut, 105, 4, 711916, 719070, 22788.05, 4.51, 23992.23, 0.54, 23992.23, 0.06, 24005.23, 0.09, 0.68, 0.49, 5.68, 3, 0.00, 4, 0.78, 24005.23, 0.00, 24005.23, 1, Y
KS, cut, 105, 4, 712106, 719262, 22464.47, 8.87, 23578.38, 0.48, 23578.38, 0.05, 23578.38, 0.05, 0.77, 0.21, 9.66, 3, 0.00, 0, 0.78, 23578.38, 0.00, 23578.38, 1, Y
KS, cut, 105, 4, 677887, 684699, 21899.44, 4.55, 23166.00, 0.51, 23166.00, 0.05, 23168.42, 0.25, 0.64, 0.77, 6.14, 8, 0.00, 2, 0.70, 23168.42, 0.00, 23168.42, 87, Y
KS, cut, 105, 4, 696273, 703270, 22335.96, 5.05, 23469.86, 0.49, 23469.86, 0.05, 23489.35, 0.07, 0.68, 0.18, 5.84, 5, 0.00, 4, 0.75, 23489.35, 0.00, 23489.35, 1, Y
KS, cut, 105, 4, 703968, 711042, 22179.64, 4.94, 23442.27, 0.62, 23442.27, 0.05, 23443.57, 0.09, 0.64, 0.45, 6.15, 5, 0.00, 2, 0.76, 23443.57, 0.00, 23443.57, 1, Y
KS, cut, 105, 4, 691469, 698417, 21905.83, 4.23, 22939.12, 0.49, 22939.12, 0.05, 22939.12, 0.10, 0.65, 0.26, 5.13, 5, 0.00, 0, 0.77, 22939.12, 0.00, 22939.12, 1, Y
KS, cut, 105, 4, 695554, 702543, 22313.57, 4.32, 23602.74, 0.46, 23602.74, 0.04, 24530.02, 0.65, 0.45, 3.24, 8.72, 14, 0.00, 12, 0.74, 23342.87, 0.00, 23342.87, 1, Y
KS, cut, 105, 4, 701006, 708051, 22466.01, 4.85, 23724.69, 0.66, 23724.69, 0.05, 23741.60, 0.10, 0.52, 0.42, 6.08, 6, 0.00, 2, 0.75, 23741.60, 0.00, 23741.60, 1, Y
KS, cut, 105, 4, 702594, 709655, 22394.77, 4.49, 23452.28, 0.43, 23452.28, 0.05, 23452.28, 0.04, 0.68, 0.16, 5.18, 1, 0.00, 0, 0.70, 23452.28, 0.00, 23452.28, 1, Y
KS, cut, 105, 4, 685117, 692002, 22089.16, 4.46, 23293.29, 0.77, 23293.29, 0.05, 23325.20, 0.09, 0.54, 0.36, 5.75, 4, 0.00, 2, 0.71, 23325.20, 0.00, 23325.20, 1, Y
KS, lcut, 105, 4, 711916, 719070, 22788.05, 4.53, 23992.23, 0.54, 23992.23, 0.06, 24005.23, 0.08, 0.68, 0.44, 5.66, 3, 0.00, 4, 0.78, 24005.23, 0.00, 24005.23, 1, Y
