state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
NC, cut, 2195, 13, 729832, 737166, 14416.66, 59.20, 14723.25, 75.94, 14679.00, 254.82, 14680.02, 20.16, 0.77, 3600.06, 4013.51, 1, 0.04, 0, 0.02, 14680.02, 1.79, 14417.50, 1, Y
ND, cut, 205, 1, 669229, 675953, 24001.24, 0.33, 24001.24, 0.01, 24001.24, 0.00, 24001.24, 0.01, 1.00, 0.00, 0.35, 1, 0.00, 0, 0.04, 24001.24, 0.00, 24001.24, 0, Y
NE, cut, 532, 3, 605737, 611824, 21975.38, 3.54, 21983.42, 1.15, 21983.42, 0.21, 21983.42, 0.09, 0.99, 0.16, 5.18, 3, 0.00, 0, 0.01, 21983.42, 0.00, 21983.42, 165, Y
NH, cut, 295, 2, 654944, 661526, 2687.72, 0.99, 2689.07, 0.15, 2689.07, 0.03, 2688.28, 0.12, 1.00, 0.01, 1.32, 3, 0.00, 0, 0.01, 2688.28, 0.00, 2688.28, 76, Y
NJ, cut, 2010, 12, 728995, 736321, 2250.25, 51.60, 2293.00, 50.25, 2291.51, 162.94, 2291.51, 3.70, 0.70, 3600.09, 3872.11, 1, 0.03, 0, 0.02, 2291.51, 100.00, 0.00, 0, Y
NM, cut, 499, 3, 682962, 689824, 31575.28, 2.81, 31603.09, 1.05, 31598.10, 0.69, 31608.19, 0.17, 0.95, 44.78, 49.54, 16, 0.01, 20, 0.02, 31603.15, 0.00, 31603.15, 671, Y
NV, cut, 687, 4, 671763, 678513, 11367.90, 7.67, 12443.84, 4.73, 12443.84, 1.18, 12497.05, 0.23, 0.43, 3600.03, 3614.59, 1, 0.00, 0, 0.02, 12497.05, 9.01, 11370.55, 44, Y
NY, cut, 4919, 27, 714119, 721296, 15405.98, 333.44, 16704.56, 2240.11, 16700.05, 11580.87, 16700.81, 1299.03, 0.45,
OH, cut, 2952, 16, 717427, 724636, 11520.54, 115.54, 12011.70, 184.71, 11908.25, 1755.77, 11911.64, 116.05, 0.65, 3600.31, 5781.34, 1, 0.09, 0, 0.03, 11911.64, 100.00, 0.00, 0, Y
OK, cut, 1046, 5, 746519, 754021, 19106.02, 16.79, 19132.60, 3.03, 19132.60, 0.54, 19131.99, 0.78, 0.99, 1.65, 22.87, 16, 0.04, 16, 0.02, 19107.87, 0.00, 19107.87, 706, Y
OR, cut, 834, 5, 762384, 770045, 26742.01, 10.28, 26750.75, 3.66, 26750.23, 5.95, 26750.15, 0.75, 0.98, 83.74, 104.47, 13, 0.02, 2, 0.02, 26749.74, 0.00, 26749.74, 13212, Y
PA, cut, 3218, 18, 702160, 709216, 11424.45, 134.05, 11829.87, 485.04, 11799.41, 6194.82, 11806.00, 41.92, 0.66, 3600.23, 10466.06, 1, 0.10, 0, 0.02, 11806.00, 100.00, 0.00, 0, Y
RI, cut, 244, 2, 523653, 528914, 228.33, 0.82, 228.42, 0.19, 228.42, 0.02, 228.42, 0.02, 0.99, 0.00, 1.06, 1, 0.00, 0, 0.02, 228.42, 0.00, 228.42, 0, Y
SC, cut, 1103, 7, 657463, 664070, 8356.08, 14.26, 9322.10, 9.82, 9293.98, 3.55, 9294.45, 1.57, 0.40, 3600.06, 3631.32, 1, 0.01, 0, 0.03, 9294.45, 10.05, 8360.04, 1, Y
SD, cut, 222, 1, 810110, 818250, 42520.48, 0.43, 42520.48, 0.01, 42520.48, 0.00, 42520.48, 0.01, 1.00, 0.00, 0.46, 1, 0.00, 0, 0.01, 42520.48, 0.00, 42520.48, 0, Y
TN, cut, 1497, 9, 701598, 708648, 10783.27, 26.41, 13092.43, 31.55, 13092.08, 17.00, 13092.08, 3.00, 0.44, 3600.08, 3681.55, 1, 0.02, 0, 0.03, 13092.08, 17.61, 10786.16, 1, Y
TX, cut, 5265, 36, 694996, 701980, 57770.13, 472.12, 73026.20, 3513.00, 72846.42, 11175.58, 72860.21, 968.83, 0.14,
UT, cut, 588, 4, 687517, 694426, 22029.31, 4.32, 22038.91, 1.31, 22035.62, 0.78, 22037.00, 0.41, 0.97, 16.85, 23.71, 6, 0.01, 24, 0.03, 22037.00, 0.00, 22037.00, 1319, Y
