state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
NY, cut, 62, 27, 714119, 721296, 434745.18, 0.03, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.06, 0, 0.00, 0, 3.47, infeasible, , , 0, N
OH, cut, 88, 16, 717427, 724636, 15750.72, 0.07, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.11, 0, 0.00, 0, 1.77, infeasible, , , 0, N
OK, cut, 77, 5, 746519, 754021, 20021.19, 0.06, 21527.57, 0.37, 21527.57, 0.06, 21925.53, 0.30, 0.69, 0.84, 1.64, 18, 0.00, 38, 0.95, 21756.50, 0.00, 21756.50, 415, Y
OR, cut, 36, 5, 762384, 770045, 26589.64, 0.02, 31424.49, 0.23, 31424.49, 0.03, infinity, 0.01, 0.00, 2.79, 3.08, 28, 0.00, 340, 0.95, infeasible, , , 1276, N
PA, cut, 67, 18, 702160, 709216, 26137.54, 0.06, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.08, 0, 0.00, 0, 2.15, infeasible, , , 0, N
RI, cut, 5, 2, 523653, 528914, 631.79, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.00, 0, 0.00, 0, 1.18, infeasible, , , 0, N
SC, cut, 46, 7, 657463, 664070, 8842.98, 0.02, 12806.86, 2.56, 12806.86, 0.25, infinity, 3.93, 0.00, 3600.00, 3606.78, 260, 0.04, 3059, 0.68, ?, 16399.15, 16399.15, 7426781, N
SD, cut, 66, 1, 810110, 818250, 39052.91, 0.05, 39052.91, 0.01, 39052.91, 0.00, 39052.91, 0.00, 0.98, 0.00, 0.06, 1, 0.00, 0, 0.21, 39052.91, 0.00, 39052.91, 0, Y
TN, cut, 95, 9, 701598, 708648, 13264.64, 0.08, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.12, 0, 0.00, 0, 1.31, infeasible, , , 0, N
TX, cut, 254, 36, 694996, 701980, 105166.00, 0.62, infinity, 0.07, infinity, 0.00, n/a, n/a, 0.00, 0.04, 0.90, 0, 0.00, 0, 5.83, infeasible, , , 0, N
UT, cut, 29, 4, 687517, 694426, 24981.97, 0.01, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.02, 0, 0.00, 0, 1.48, infeasible, , , 0, N
VA, cut, 134, 11, 723729, 731002, 13661.82, 0.15, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.23, 0, 0.00, 0, 1.48, infeasible, , , 0, N
VT, cut, 14, 1, 622613, 628869, 3400.27, 0.00, 3400.27, 0.00, 3400.27, 0.00, 3400.27, 0.00, 0.93, 0.00, 0.01, 1, 0.00, 0, 0.25, 3400.27, 0.00, 3400.27, 0, Y
WA, cut, 39, 10, 669092, 675816, 32193.88, 0.01, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.03, 0, 0.00, 0, 2.86, infeasible, , , 0, N
WI, cut, 72, 8, 707319, 714427, 18159.78, 0.05, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.07, 0, 0.00, 0, 1.33, infeasible, , , 0, N
WV, cut, 55, 3, 614577, 620753, 10819.43, 0.03, 11844.76, 0.26, 11844.76, 0.02, 12000.62, 0.03, 0.57, 0.51, 0.86, 3, 0.00, 5, 0.31, 12000.62, 0.00, 12000.62, 117, Y
WY, cut, 23, 1, 560808, 566444, 25615.88, 0.00, 25615.88, 0.00, 25615.88, 0.00, 25615.88, 0.00, 0.96, 0.00, 0.01, 1, 0.00, 0, 0.16, 25615.88, 0.00, 25615.88, 0, Y
AK, lcut, 29, 1, 706680, 713782, 208749.73, 0.00, 208749.73, 0.02, 208749.73, 0.00, 208749.73, 0.00, 0.97, 0.00, 0.03, 1, 0.00, 0, 0.41, 208749.73, 0.00, 208749.73, 0, Y
AL, lcut, 67, 7, 679406, 686233, 14028.40, 0.04, 15519.54, 1.63, 15519.54, 0.19, infinity, 0.02, 0.00, 17.51, 19.41, 24, 0.01, 203, 0.96, 16627.25, 0.00, 16627.25, 4610, Y
AR, lcut, 75, 4, 725335, 732624, 16003.91, 0.08, 16525.07, 0.29, 16525.07, 0.04, 16713.22, 0.19, 0.86, 0.36, 0.96, 8, 0.00, 4, 0.52, 16543.15, 0.00, 16543.15, 19, Y
AZ, lcut, 15, 9, 706674, 713775, 165506.85, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, 0, 0.00, 0, 5.35, infeasible, , , 0, N
CA, lcut, 58, 53, 699391, 706419, 11055919.43, 0.08, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.12, 0, 0.00, 0, 13.90, infeasible, , , 0, N
CO, lcut, 64, 7, 714865, 722048, 22614.86, 0.04, 35466.64, 1.74, 35466.64, 0.11, infinity, 0.03, 0.00, 0.00, 1.94, 0, 0.00, 0, 0.86, infeasible, , , 0, N
CT, lcut, 8, 5, 711246, 718393, 10544.47, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, 0, 0.00, 0, 1.28, infeasible, , , 0, N
DE, lcut, 3, 1, 893445, 902423, 2083.12, 0.00, 2083.12, 0.00, 2083.12, 0.00, 2083.12, 0.00, 0.67, 0.00, 0.01, 1, 0.00, 0, 0.60, 2083.12, 0.00, 2083.12, 0, Y
FL, lcut, 67, 27, 692864, 699826, 114492.72, 0.03, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.07, 0, 0.00, 0, 3.57, infeasible, , , 0, N
GA, lcut, 159, 14, 688516, 695435, 17108.83, 0.22, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.02, 0.33, 0, 0.00, 0, 1.32, infeasible, , , 0, N
HI, lcut, 5, 2, 676750, 683551, 426140.67, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.00, 0, 0.00, 0, 1.39, infeasible, , , 0, N
IA, lcut, 99, 4, 757781, 765396, 17438.54, 0.08, 17748.05, 0.46, 17748.05, 0.05, 17748.05, 0.07, 0.95, 0.20, 0.87, 5, 0.00, 0, 0.56, 17748.05, 0.00, 17748.05, 22, Y
ID, lcut, 44, 2, 779873, 787709, 57106.52, 0.02, 61232.58, 0.03, 61232.58, 0.01, 61232.58, 0.01, 0.87, 0.02, 0.09, 1, 0.00, 0, 0.50, 61232.58, 0.00, 61232.58, 1, Y
IL, lcut, 102, 18, 709249, 716376, 74787.08, 0.09, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.14, 0, 0.00, 0, 7.25, infeasible, , , 0, N
IN, lcut, 92, 9, 716821, 724024, 11803.91, 0.08, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.12, 0, 0.00, 0, 1.25, infeasible, , , 0, N
KS, lcut, 105, 4, 709714, 716845, 22442.28, 0.11, 23736.89, 0.44, 23736.89, 0.05, 23736.89, 0.06, 0.85, 0.44, 1.11, 3, 0.00, 0, 0.76, 23736.89, 0.00, 23736.89, 1, Y
KY, lcut, 120, 6, 719612, 726843, 15023.16, 0.13, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.19, 0, 0.00, 0, 1.02, infeasible, , , 0, N
LA, lcut, 64, 6, 751785, 759339, 15466.23, 0.04, 17239.16, 0.95, 17239.16, 0.09, 17272.65, 0.07, 0.61, 1.07, 2.23, 2, 0.00, 6, 0.58, 17272.65, 0.00, 17272.65, 455, Y
MA, lcut, 14, 9, 723877, 731151, 29577.08, 0.00, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.02, 0, 0.00, 0, 2.06, infeasible, , , 0, N
